Date,Open,High,Low,Close,Volume,Adj Close
2013-09-26,10.0,13.74,10.0,12.8,5025100,12.8
2013-09-27,13.42,16.4,13.01,15.15,1334600,15.15
2013-09-30,14.82,16.0,13.81,14.2,267500,14.2
2013-10-01,14.13,14.18,13.08,13.69,135200,13.69
2013-10-02,13.39,14.5,13.3,13.76,67200,13.76
2013-10-03,13.67,14.75,13.6,14.7,87900,14.7
2013-10-04,14.66,15.37,13.0,13.48,434400,13.48
2013-10-07,13.5,13.94,13.48,13.67,27500,13.67
2013-10-08,14.2,14.2,13.0,13.15,111200,13.15
2013-10-09,12.86,13.59,12.8,13.0,49600,13.0
2013-10-10,13.32,13.83,13.1,13.35,51400,13.35
2013-10-11,13.5,13.78,13.06,13.53,27400,13.53
2013-10-14,13.68,13.68,13.2,13.5,14300,13.5
2013-10-15,13.42,13.92,13.3,13.81,26500,13.81
2013-10-16,13.61,13.62,13.15,13.6,43200,13.6
2013-10-17,13.42,14.61,13.42,14.1,87400,14.1
2013-10-18,13.93,14.75,13.88,14.61,45400,14.61
2013-10-21,14.32,15.21,14.31,14.83,156500,14.83
2013-10-22,15.25,15.25,14.7,14.76,53700,14.76
2013-10-23,15.0,15.0,14.51,14.56,28400,14.56
2013-10-24,14.8,14.96,13.67,14.41,85500,14.41
2013-10-25,13.55,14.78,13.55,14.33,27100,14.33
2013-10-28,14.25,14.36,13.84,13.94,66900,13.94
2013-10-29,14.0,14.0,13.02,13.7,136700,13.7
2013-10-30,13.75,13.75,13.15,13.69,39000,13.69
2013-10-31,13.61,14.38,13.54,14.08,45300,14.08
2013-11-01,14.32,14.94,13.7,13.99,87500,13.99
2013-11-04,14.2,14.6,14.2,14.57,52800,14.57
2013-11-05,14.55,14.59,14.16,14.16,41900,14.16
2013-11-06,14.0,14.7,14.0,14.7,62500,14.7
2013-11-07,15.1,15.5,13.91,14.15,140600,14.15
2013-11-08,14.16,14.2,13.55,13.88,43300,13.88
2013-11-11,13.93,14.23,13.6,14.23,41300,14.23
2013-11-12,14.13,14.39,13.82,14.15,71800,14.15
2013-11-13,14.15,14.29,13.9,14.04,57700,14.04
2013-11-14,14.23,14.23,13.9,14.05,62200,14.05
2013-11-15,14.28,14.92,13.97,14.82,88500,14.82
2013-11-18,14.67,15.7,14.47,14.99,130700,14.99
2013-11-19,15.02,15.5,15.02,15.35,60600,15.35
2013-11-20,15.29,15.45,14.67,15.18,15500,15.18
2013-11-21,15.25,15.86,14.8,15.6,79300,15.6
2013-11-22,15.99,19.69,15.75,17.75,479600,17.75
2013-11-25,17.53,19.34,17.22,18.5,105000,18.5
2013-11-26,18.65,18.82,17.49,17.82,62700,17.82
2013-11-27,17.56,18.0,17.56,17.82,46700,17.82
2013-11-29,17.98,18.42,17.87,18.1,30500,18.1
2013-12-02,18.12,18.22,16.78,16.92,84100,16.92
2013-12-03,16.92,17.77,16.9,17.43,74600,17.43
2013-12-04,17.38,18.25,17.15,17.74,106000,17.74
2013-12-05,17.6,17.61,16.3,17.02,86700,17.02
2013-12-06,16.99,17.08,16.29,16.7,90500,16.7
2013-12-09,16.7,17.4,15.3,17.18,218200,17.18
2013-12-10,17.2,17.2,16.67,16.78,32400,16.78
2013-12-11,16.9,16.96,16.44,16.46,53900,16.46
2013-12-12,16.39,16.69,15.83,16.43,68500,16.43
2013-12-13,16.57,18.2,16.57,17.95,88600,17.95
2013-12-16,18.45,18.66,17.51,17.95,88500,17.95
2013-12-17,17.97,18.06,17.13,17.61,148600,17.61
2013-12-18,17.56,18.01,17.56,17.9,293300,17.9
2013-12-19,17.97,18.12,17.5,17.74,36500,17.74
2013-12-20,17.9,17.95,17.25,17.65,64500,17.65
2013-12-23,17.72,17.94,17.25,17.25,56500,17.25
2013-12-24,17.15,17.5,17.15,17.28,5500,17.28
2013-12-26,17.39,17.5,17.19,17.29,44500,17.29
2013-12-27,17.32,17.4,16.4,17.04,56000,17.04
2013-12-30,16.65,16.71,16.05,16.51,108800,16.51
2013-12-31,16.54,16.9,16.07,16.31,91600,16.31
2014-01-02,16.66,18.15,16.51,17.65,179000,17.65
2014-01-03,18.02,18.13,17.18,17.42,43500,17.42
2014-01-06,17.71,17.98,17.29,17.29,37900,17.29
2014-01-07,17.2,17.69,17.09,17.26,45200,17.26
2014-01-08,17.32,19.75,17.32,19.6,273200,19.6
2014-01-09,21.09,23.25,20.66,22.14,633000,22.14
2014-01-10,22.06,23.2,21.67,23.06,260000,23.06
2014-01-13,23.86,24.25,22.67,23.19,342500,23.19
2014-01-14,22.79,23.0,21.49,22.32,127000,22.32
2014-01-15,22.34,22.77,21.7,22.08,96500,22.08
2014-01-16,22.17,24.0,21.7,23.99,192600,23.99
2014-01-17,24.0,26.7,23.67,25.63,357600,25.63
2014-01-21,24.57,25.63,23.23,24.29,128200,24.29
2014-01-22,24.06,24.58,22.82,23.96,89900,23.96
2014-01-23,23.0,23.93,22.52,23.91,165500,23.91
2014-01-24,23.8,23.8,22.76,22.99,145200,22.99
2014-01-27,23.0,23.0,20.88,21.06,311800,21.06
2014-01-28,21.11,22.7,20.1,22.6,437900,22.6
2014-01-29,22.49,22.88,21.15,21.8,331000,21.8
2014-01-30,21.91,22.73,20.62,21.7,328300,21.7
2014-01-31,21.75,22.3,21.28,21.98,1995600,21.98
2014-02-03,22.3,22.31,20.1,20.85,367900,20.85
2014-02-04,21.38,23.44,21.04,22.52,555200,22.52
2014-02-05,22.78,22.88,21.0,21.21,501300,21.21
2014-02-06,21.25,21.97,14.51,17.45,6394100,17.45
2014-02-07,16.6,16.69,13.52,15.72,3498100,15.72
2014-02-10,16.12,17.39,15.81,15.9,1202400,15.9
2014-02-11,15.99,17.14,15.9,15.99,651900,15.99
2014-02-12,15.99,16.5,15.9,15.99,275800,15.99
2014-02-13,15.99,15.99,15.06,15.77,713800,15.77
2014-02-14,15.99,16.36,15.52,15.83,453600,15.83
2014-02-18,16.2,16.64,15.9,16.12,538800,16.12
2014-02-19,15.96,16.38,15.63,16.16,444000,16.16
2014-02-20,16.15,17.0,15.52,15.68,794600,15.68
2014-02-21,15.03,16.2,14.85,15.99,285200,15.99
2014-02-24,16.02,16.35,16.0,16.08,149600,16.08
2014-02-25,16.06,16.34,15.7,15.89,589100,15.89
2014-02-26,15.81,16.12,15.62,15.99,165800,15.99
2014-02-27,15.98,16.27,15.74,16.0,186500,16.0
2014-02-28,15.95,15.96,15.64,15.73,164700,15.73
2014-03-03,15.83,15.83,15.48,15.57,71600,15.57
2014-03-04,15.58,16.0,15.58,15.87,215500,15.87
2014-03-05,16.11,16.98,16.0,16.71,528300,16.71
2014-03-06,16.86,16.98,16.43,16.65,266100,16.65
2014-03-07,16.7,17.28,16.41,17.16,205900,17.16
2014-03-10,20.25,21.19,20.07,20.66,2489300,20.66
2014-03-11,20.66,21.2,20.6,21.09,794100,21.09
2014-03-12,21.17,21.38,20.95,21.0,478700,21.0
2014-03-13,21.1,21.95,20.9,21.76,312500,21.76
2014-03-14,21.81,22.36,21.26,21.87,121800,21.87
2014-03-17,21.74,22.2,21.06,21.55,341300,21.55
2014-03-18,21.4,21.93,20.35,20.65,543100,20.65
2014-03-19,20.5,21.25,20.5,20.94,558500,20.94
2014-03-20,20.74,21.25,20.57,20.61,387500,20.61
2014-03-21,20.69,20.8,19.46,20.04,1629300,20.04
2014-03-24,20.2,20.4,20.02,20.16,646600,20.16
2014-03-25,20.5,20.53,20.2,20.49,501200,20.49
2014-03-26,20.58,20.58,19.89,20.05,356100,20.05
2014-03-27,20.2,20.29,19.4,20.11,338400,20.11
2014-03-28,20.18,20.23,19.6,19.73,276100,19.73
2014-03-31,20.03,20.82,19.66,20.02,511100,20.02
2014-04-01,20.21,20.49,19.95,20.38,309800,20.38
2014-04-02,20.4,20.5,20.05,20.24,341500,20.24
2014-04-03,20.27,20.44,19.8,20.02,231400,20.02
2014-04-04,20.09,20.2,19.86,19.92,108600,19.92
2014-04-07,19.95,20.18,19.62,19.87,177400,19.87
2014-04-08,19.96,20.18,19.71,19.99,150200,19.99
2014-04-09,19.92,20.1,19.8,20.05,177900,20.05
2014-04-10,20.0,20.19,19.86,20.04,146700,20.04
